,doi,tweets,archive,subject-area,covid,title,authors,abstract,posted
0,10.1101/2021.04.29.442030,229,bioRxiv,Evolutionary Biology,False,Genomic consequences of domestication of the Siamese fighting fish,"[{'given': 'Young', 'family': 'Kwon', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0728-4715', 'authenticated-orcid': False, 'given': 'Nathan', 'family': 'Vranken', 'sequence': 'additional', 'affiliation': []}, {'given': 'Carla', 'family': 'Hoge', 'sequence': 'additional', 'affiliation': []}, {'given': 'Madison R', 'family': 'Lichak', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kerel X', 'family': 'Francis', 'sequence': 'additional', 'affiliation': []}, {'given': 'Julia', 'family': 'Camacho-Garcia', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6155-3093', 'authenticated-orcid': False, 'given': 'Iliana', 'family': 'Bista', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7545-2162', 'authenticated-orcid': False, 'given': 'Jonathan', 'family': 'Wood', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2715-4187', 'authenticated-orcid': False, 'given': 'Shane', 'family': 'McCarthy', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-9056-201X', 'authenticated-orcid': False, 'given': 'William', 'family': 'Chow', 'sequence': 'additional', 'affiliation': []}, {'given': 'Heok Hui', 'family': 'Tan', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2237-513X', 'authenticated-orcid': False, 'given': 'Kerstin', 'family': 'Howe', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-1029-1457', 'authenticated-orcid': False, 'given': 'Sepalika', 'family': 'Bandara', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2079-2143', 'authenticated-orcid': False, 'given': 'Johannes', 'family': 'von Lintig', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lukas', 'family': 'Ruber', 'sequence': 'additional', 'affiliation': []}, {'given': 'Richard', 'family': 'Durbin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Hannes', 'family': 'Svardal', 'sequence': 'additional', 'affiliation': []}, {'given': 'Andres', 'family': 'Bendesky', 'sequence': 'additional', 'affiliation': []}]","<jats:p>Siamese fighting fish, commonly known as betta, are among the world's most popular and morphologically diverse pet fish, but the genetic processes leading to their domestication and phenotypic diversification are largely unknown. We assembled de novo the genome of a wild Betta splendens and whole-genome sequenced multiple individuals across five species within the B. splendens species complex, including wild populations and domesticated ornamental betta. Given our estimate of the mutation rate from pedigrees, our analyses suggest that betta were domesticated at least 1,000 years ago, centuries earlier than previously thought. Ornamental betta individuals have variable contributions from other Betta species and have also introgressed into wild populations of those species. We identify dmrt1 as the main sex determination gene in ornamental betta but not in wild B. splendens, and find evidence for recent directional selection at the X-allele of the locus. Furthermore, we find genes with signatures of recent, strong selection that have large effects on color in specific parts of the body, or the shape of individual fins, and are almost all unlinked. Our results demonstrate how simple genetic architectures paired with anatomical modularity can lead to vast phenotypic diversity generated during animal domestication, and set the stage for using betta as a modern system for evolutionary genetics.</jats:p>",2021-04-30
1,10.1101/2021.04.29.441939,216,bioRxiv,Genomics,False,Genome-wide mutational signatures of immunological diversification in normal lymphocytes,"[{'given': 'Heather', 'family': 'Machado', 'sequence': 'first', 'affiliation': []}, {'given': 'Emily', 'family': 'Mitchell', 'sequence': 'additional', 'affiliation': []}, {'given': 'Nina', 'family': 'Obro', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kirsten', 'family': 'Kubler', 'sequence': 'additional', 'affiliation': []}, {'given': 'Megan', 'family': 'Davies', 'sequence': 'additional', 'affiliation': []}, {'given': 'Francesco', 'family': 'Maura', 'sequence': 'additional', 'affiliation': []}, {'given': 'Daniel', 'family': 'Leongamornlert', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mathijs', 'family': 'Sanders', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alex', 'family': 'Cagan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Craig', 'family': 'McDonald', 'sequence': 'additional', 'affiliation': []}, {'given': 'Miriam', 'family': 'Belmonte', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mairi', 'family': 'Shepherd', 'sequence': 'additional', 'affiliation': []}, {'given': 'Robert', 'family': 'Osborne', 'sequence': 'additional', 'affiliation': []}, {'given': 'Krishnaa', 'family': 'Mahbubani', 'sequence': 'additional', 'affiliation': []}, {'given': 'Inigo', 'family': 'Martincorena', 'sequence': 'additional', 'affiliation': []}, {'given': 'Elisa', 'family': 'Laurenti', 'sequence': 'additional', 'affiliation': []}, {'given': 'Anthony', 'family': 'Green', 'sequence': 'additional', 'affiliation': []}, {'given': 'Gad', 'family': 'Getz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Paz', 'family': 'Polak', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kourosh', 'family': 'Saeb-Parsy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Daniel', 'family': 'Hodson', 'sequence': 'additional', 'affiliation': []}, {'given': 'David', 'family': 'Kent', 'sequence': 'additional', 'affiliation': []}, {'given': 'Peter', 'family': 'Campbell', 'sequence': 'additional', 'affiliation': []}]","<jats:p>A lymphocyte suffers many threats to its genome, including programmed mutation during differentiation, antigen-driven proliferation and residency in diverse microenvironments. After developing protocols for single-cell lymphocyte expansions, we sequenced whole genomes from 717 normal naive and memory B and T lymphocytes and hematopoietic stem cells. Lymphocytes carried more point mutations and structural variation than stem cells, accruing at higher rates in T than B cells, attributable to both exogenous and endogenous mutational processes. Ultraviolet light exposure and other sporadic mutational processes generated hundreds to thousands of mutations in some memory lymphocytes. Memory B cells acquired, on average, 18 off-target mutations genome-wide for every one on-target IGV mutation during the germinal center reaction. Structural variation was 16-fold higher in lymphocytes than stem cells, with ~15% of deletions being attributable to off-target RAG activity.</jats:p>",2021-04-30
2,10.1101/2021.05.02.442312,133,bioRxiv,Microbiology,False,Aminoglycoside antibiotics inhibit phage infection by blocking an early step of the phage infection cycle,"[{'given': 'Larissa', 'family': 'Kever', 'sequence': 'first', 'affiliation': []}, {'given': 'Aël', 'family': 'Hardy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tom', 'family': 'Luthe', 'sequence': 'additional', 'affiliation': []}, {'given': 'Max', 'family': 'Hünnefeld', 'sequence': 'additional', 'affiliation': []}, {'given': 'Cornelia', 'family': 'Gätgens', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lars', 'family': 'Milke', 'sequence': 'additional', 'affiliation': []}, {'given': 'Johanna', 'family': 'Wiechert', 'sequence': 'additional', 'affiliation': []}, {'given': 'Johannes', 'family': 'Wittmann', 'sequence': 'additional', 'affiliation': []}, {'given': 'Cristina', 'family': 'Moraru', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jan', 'family': 'Marienhagen', 'sequence': 'additional', 'affiliation': []}, {'given': 'Julia', 'family': 'Frunzke', 'sequence': 'additional', 'affiliation': []}]","<jats:title>Abstract</jats:title><jats:p>In response to viral predation, bacteria have evolved a wide range of defense mechanisms, which rely mostly on proteins acting at the cellular level. Here, we show that aminoglycosides, a well-known class of antibiotics produced by <jats:italic>Streptomyces</jats:italic>, are potent inhibitors of phage infection in widely divergent bacterial hosts. We demonstrate that aminoglycosides block an early step of the viral life cycle, prior to genome replication. Phage inhibition was also achieved using supernatants from natural aminoglycoside producers, hinting at a broad physiological significance of the antiviral properties of aminoglycosides. Strikingly, we show that acetylation of the aminoglycoside antibiotic apramycin abolishes its antibacterial effect, but retains its antiviral properties. Altogether, this study expands the knowledge of potential aminoglycoside functions in bacterial communities suggesting that aminoglycosides are not only used by their producers as toxic molecules against their bacterial competitors, but could also provide protection against the threat of phage predation at the community level.</jats:p>",2021-05-02
3,10.1101/2021.04.30.441968,118,bioRxiv,Microbiology,True,Influenza viral particles harboring the SARS-CoV-2 spike RBD as a combination respiratory disease vaccine,"[{'ORCID': 'http://orcid.org/0000-0003-3838-1868', 'authenticated-orcid': False, 'given': 'Ryan R', 'family': 'Chaparian', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-1446-2359', 'authenticated-orcid': False, 'given': 'Alfred T', 'family': 'Harding', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-4936-4756', 'authenticated-orcid': False, 'given': 'Kristina', 'family': 'Riebe', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4413-4217', 'authenticated-orcid': False, 'given': 'Amelia', 'family': 'Karlsson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0391-6594', 'authenticated-orcid': False, 'given': 'Gregory D', 'family': 'Sempowski', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5307-3428', 'authenticated-orcid': False, 'given': 'Nicholas S', 'family': 'Heaton', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2839-3806', 'authenticated-orcid': False, 'given': 'Brook E', 'family': 'Heaton', 'sequence': 'additional', 'affiliation': []}]","<jats:p>Vaccines targeting SARS-CoV-2 have gained emergency FDA approval, however the breadth against emerging variants and the longevity of protection remains unknown. Post-immunization boosting may be required, perhaps on an annual basis if the virus becomes an endemic pathogen. Seasonal influenza virus vaccines are already developed every year, an undertaking made possible by a robust global vaccine production and distribution infrastructure. To create a seasonal combination vaccine targeting influenza viruses and SARS-CoV-2 that is also amenable to frequent reformulation, we have developed a recombinant influenza A virus (IAV) genetic platform that reprograms the virus to package an immunogenic domain of the SARS-CoV-2 spike (S) protein onto IAV particles. Vaccination with this combination vaccine elicits neutralizing antibodies and provides protection from lethal challenge with both pathogens. This technology may allow for leveraging of established influenza vaccine infrastructure to generate a cost-effective and scalable seasonal vaccine solution for both influenza and coronaviruses.</jats:p>",2021-04-30
4,10.1101/2021.04.30.442087,105,bioRxiv,Genetics,False,Diverse mechanisms for epigenetic imprinting in mammals,"[{'given': 'Daniel', 'family': 'Andergassen', 'sequence': 'first', 'affiliation': []}, {'given': 'Zachary D', 'family': 'Smith', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7231-7539', 'authenticated-orcid': False, 'given': 'John L', 'family': 'Rinn', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alexander', 'family': 'Meissner', 'sequence': 'additional', 'affiliation': []}]","<jats:p>Genomic imprinting and X chromosome inactivation (XCI) require epigenetic mechanisms to direct allele-specific expression. Despite their critical roles in embryonic development, how universal epigenetic regulators coordinate these specific tasks from single locus to chromosome-scale remains understudied. Here, we systematically disrupted multiple essential epigenetic pathways within polymorphic F1 zygotes to examine postimplantation effects on canonical and non-canonical genomic imprinting as well as X chromosome inactivation. We find that DNA methylation and Polycomb group repressors are both indispensable for autosomal imprinting, albeit at distinct gene sets. Moreover, the extraembryonic ectoderm relies on a broader spectrum of unique imprinting mechanisms, including non-canonical targeting of maternal endogenous retrovirus (ERV) driven promoters by G9a. We further utilize our data to identify Polycomb dependent and independent gene clusters on the imprinted X chromosome, which appears to reflect distinct domains of Xist-mediated suppression. Our data has allowed us to assemble a comprehensive inventory of the epigenetic mechanisms utilized in eutherian mammals to maintain parent-specific imprinting, including an expanded view of the placental lineage that comprises multiple unique pathways.</jats:p>",2021-04-30
5,10.1101/2021.04.29.21255961,100,medRxiv,Public and Global Health,True,Wastewater-based estimation of the effective reproductive number of SARS-CoV-2,"[{'ORCID': 'http://orcid.org/0000-0002-1782-8109', 'authenticated-orcid': False, 'given': 'Jana S', 'family': 'Huisman', 'sequence': 'first', 'affiliation': []}, {'given': 'Jeremie', 'family': 'Scire', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lea', 'family': 'Caduff', 'sequence': 'additional', 'affiliation': []}, {'given': 'Xavier', 'family': 'Fernandez-Cassi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Pravin', 'family': 'Ganesanandamoorthy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Anina', 'family': 'Kull', 'sequence': 'additional', 'affiliation': []}, {'given': 'Andreas', 'family': 'Scheidegger', 'sequence': 'additional', 'affiliation': []}, {'given': 'Elyse', 'family': 'Stachler', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alexandria B', 'family': 'Boehm', 'sequence': 'additional', 'affiliation': []}, {'given': 'Bridgette', 'family': 'Hughes', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alisha', 'family': 'Knudson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Aaron', 'family': 'Topol', 'sequence': 'additional', 'affiliation': []}, {'given': 'Krista R', 'family': 'Wigginton', 'sequence': 'additional', 'affiliation': []}, {'given': 'Marlene K', 'family': 'Wolfe', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tamar', 'family': 'Kohn', 'sequence': 'additional', 'affiliation': []}, {'given': 'Christoph', 'family': 'Ort', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tanja', 'family': 'Stadler', 'sequence': 'additional', 'affiliation': []}, {'given': 'Timothy R', 'family': 'Julian', 'sequence': 'additional', 'affiliation': []}]","<jats:p>The effective reproductive number, Re, is a critical indicator to monitor disease dynamics, inform regional and national policies, and estimate the effectiveness of interventions. It describes the average number of new infections caused by a single infectious person through time. To date, Re estimates are based on clinical data such as observed cases, hospitalizations, and/or deaths. Here we show that the dynamics of SARS-CoV-2 RNA in wastewater can be used to estimate Re in near real-time, independent of clinical data and without associated biases stemming from clinical testing and reporting strategies. The method to estimate Re from wastewater is robust and applicable to data from different countries and wastewater matrices. The resulting estimates are as similar to the Re estimates from case report data as Re estimates based on observed cases, hospitalizations, and deaths are among each other. We further provide details on the effect of sampling frequency and the shedding load distribution on the ability to infer Re. To our knowledge, this is the first time Re has been estimated from wastewater. This method provides a low cost, rapid, and independent way to inform SARS-CoV-2 monitoring during the ongoing pandemic and is applicable to future wastewater-based epidemiology targeting other pathogens.</jats:p>",2021-04-30
6,10.1101/2021.04.29.21256344,83,medRxiv,Infectious Diseases (except HIV/AIDS),True,"Original antigenic sin responses to heterologous Betacoronavirus spike proteins are observed in mice following intramuscular administration, but are not apparent in children following SARS-CoV-2 infection","[{'given': 'Stacey A.', 'family': 'Lapp', 'sequence': 'first', 'affiliation': []}, {'given': 'Venkata Viswanadh', 'family': 'Edara', 'sequence': 'additional', 'affiliation': []}, {'given': 'Austin', 'family': 'Lu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lilin', 'family': 'Lai', 'sequence': 'additional', 'affiliation': []}, {'given': 'Laila', 'family': 'Hussaini', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ann', 'family': 'Chahroudi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Larry J.', 'family': 'Anderson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mehul S.', 'family': 'Suthar', 'sequence': 'additional', 'affiliation': []}, {'given': 'Evan J.', 'family': 'Anderson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Christina A.', 'family': 'Rostad', 'sequence': 'additional', 'affiliation': []}]","<jats:p>Background: The effects of pre-existing endemic human coronavirus (HCoV) immunity on SARS-CoV-2 serologic and clinical responses are incompletely understood. 
Objectives: We sought to determine the effects of prior exposure to HCoV Betacoronavirus HKU1 spike protein on serologic responses to SARS-CoV-2 spike protein after intramuscular administration in mice. We also sought to understand the baseline seroprevalence of HKU1 spike antibodies in healthy children and to measure their correlation with SARS-CoV-2 binding and neutralizing antibodies in children hospitalized with acute coronavirus disease 2019 (COVID-19) or multisystem inflammatory syndrome (MIS-C). 
Methods: Groups of 5 mice were injected intramuscularly with two doses of alum-adjuvanted HKU1 spike followed by SARS-CoV-2 spike; or the reciprocal regimen of SARS-Cov-2 spike followed by HKU1 spike. Sera collected 21 days following each injection was analyzed for IgG antibodies to HKU1 spike, SARS-CoV-2 spike, and SARS-CoV-2 neutralization. Sera from children hospitalized with acute COVID-19, MIS-C or healthy controls (n=14 per group) were analyzed for these same antibodies.
Results: Mice primed with SARS-CoV-2 spike and boosted with HKU1 spike developed high titers of SARS-CoV-2 binding and neutralizing antibodies; however, mice primed with HKU1 spike and boosted with SARS-CoV-2 spike were unable to mount neutralizing antibodies to SARS-CoV-2. HKU1 spike antibodies were detected in all children with acute COVID-19, MIS-C, and healthy controls. Although children with MIS-C had significantly higher HKU1 spike titers than healthy children (GMT 37239 vs. 7551, P=0.012), these titers correlated positively with both SARS-CoV-2 binding (r=0.7577, P&lt;0.001) and neutralizing (r=0.6201, P=0.001) antibodies.
Conclusions: Prior murine exposure to HKU1 spike protein completely impeded the development of neutralizing antibodies to SARS-CoV-2, consistent with original antigenic sin. In contrast, the presence of HKU1 spike IgG antibodies in children with acute COVID-19 or MIS-C was not associated with diminished neutralizing antibody responses to SARS-CoV-2.</jats:p>",2021-04-30
7,10.1101/2021.04.30.441581,78,bioRxiv,Microbiology,False,RelA-SpoT Homologue toxins pyrophosphorylate the CCA end of tRNA to inhibit protein synthesis,"[{'given': 'Tatsuaki', 'family': 'Kurata', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2591-9588', 'authenticated-orcid': False, 'given': 'Tetiana', 'family': 'Brodiazhenko', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-6090-6742', 'authenticated-orcid': False, 'given': 'Sofia Raquel Alves', 'family': 'Oliveira', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-3116-3817', 'authenticated-orcid': False, 'given': 'Mohammad', 'family': 'Roghanian', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0899-974X', 'authenticated-orcid': False, 'given': 'Kathryn Jane', 'family': 'Turnbull', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-3945-4408', 'authenticated-orcid': False, 'given': 'Ondrej', 'family': 'Bulvas', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2034-5666', 'authenticated-orcid': False, 'given': 'Hiraku', 'family': 'Takada', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-7898-946X', 'authenticated-orcid': False, 'given': 'Radek', 'family': 'Pohl', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0634-0300', 'authenticated-orcid': False, 'given': 'Abel', 'family': 'Garcia-Pino', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-5977-5001', 'authenticated-orcid': False, 'given': 'Dominik', 'family': 'Rejman', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0260-3601', 'authenticated-orcid': False, 'given': 'Tanel', 'family': 'Tenson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4861-4584', 'authenticated-orcid': False, 'given': 'Gemma Catherine', 'family': 'Atkinson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2389-5057', 'authenticated-orcid': False, 'given': 'Vasili', 'family': 'Hauryliuk', 'sequence': 'additional', 'affiliation': []}]","<jats:p>RelA-SpoT Homolog (RSH) enzymes control bacterial physiology through synthesis and degradation of the nucleotide alarmone (p)ppGpp. We recently discovered multiple families of Small Alarmone Synthetase (SAS) RSH acting as toxins of toxin-antitoxin (TA) modules, with the FaRel subfamily of toxSAS abrogating bacterial growth by producing an analogue of (p)ppGpp, (pp)pApp. Here we probe the mechanism of growth arrest employed by four experimentally unexplored subfamilies of toxSAS: FaRel2, PhRel, PhRel2 and CapRel. Surprisingly, all these toxins specifically inhibit protein synthesis. To do so, they transfer a pyrophosphate moiety from ATP to the tRNA 3′ CCA. The modification inhibits both tRNA aminoacylation and the sensing of cellular amino acid starvation by the ribosome-associated RSH RelA. Conversely, we show that some Small Alarmone Hydrolase (SAH) RSH enzymes can reverse the pyrophosphorylation of tRNA to counter the growth inhibition by toxSAS. Collectively, we establish RSHs as a novel class of RNA-modifying enzymes.</jats:p>",2021-04-30
8,10.1101/2021.04.30.442050,75,bioRxiv,Molecular Biology,False,Single-molecule imaging of microRNA-mediated gene silencing in cells,"[{'ORCID': 'http://orcid.org/0000-0002-2363-8838', 'authenticated-orcid': False, 'given': 'Hotaka', 'family': 'Kobayashi', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6725-0093', 'authenticated-orcid': False, 'given': 'Robert H', 'family': 'Singer', 'sequence': 'additional', 'affiliation': []}]","<jats:p>MicroRNAs (miRNAs) are small non-coding RNAs, which regulate the expression of thousands of genes; miRNAs silence gene expression from complementary mRNAs through translational repression and mRNA decay. For decades, the function of miRNAs has been studied primarily by ensemble methods, where a bulk collection of molecules is measured outside cells. Thus, the behavior of individual molecules during miRNA-mediated gene silencing, as well as their spatiotemporal regulation inside cells, remains mostly unknown. Here we report single-molecule methods to visualize each step of miRNA-mediated gene silencing in situ inside cells. Simultaneous visualization of single mRNAs, translation, and miRNA-binding revealed that miRNAs preferentially bind to translated mRNAs rather than untranslated mRNAs. Spatiotemporal analysis based on our methods uncovered that miRNAs bind to mRNAs immediately after nuclear export. Subsequently, miRNAs induced translational repression and mRNA decay within 30 and 60 min, respectively, after the binding to mRNAs. This methodology provides a framework for studying mRNA regulation at the single-molecule level with spatiotemporal information inside cells.</jats:p>",2021-04-30
9,10.1101/2021.04.29.440149,70,bioRxiv,Bioinformatics,False,spatialLIBD: an R/Bioconductor package to visualize spatially-resolved transcriptomics data,"[{'ORCID': 'http://orcid.org/0000-0001-8103-7136', 'authenticated-orcid': False, 'given': 'Brenda', 'family': 'Pardo', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0028-9348', 'authenticated-orcid': False, 'given': 'Abby', 'family': 'Spangler', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-3282-1730', 'authenticated-orcid': False, 'given': 'Lukas M.', 'family': 'Weber', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7858-0231', 'authenticated-orcid': False, 'given': 'Stephanie C.', 'family': 'Hicks', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-6886-1454', 'authenticated-orcid': False, 'given': 'Andrew E.', 'family': 'Jaffe', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5237-0789', 'authenticated-orcid': False, 'given': 'Keri', 'family': 'Martinowich', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0031-8468', 'authenticated-orcid': False, 'given': 'Kristen R.', 'family': 'Maynard', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2140-308X', 'authenticated-orcid': False, 'given': 'Leonardo', 'family': 'Collado-Torres', 'sequence': 'additional', 'affiliation': []}]","<jats:p>Motivation: Spatially-resolved transcriptomics has now enabled the quantification of high-throughput and transcriptome-wide gene expression in intact tissue while also retaining the spatial coordinates. Incorporating the precise spatial mapping of gene activity advances our understanding of intact tissue-specific biological processes. In order to interpret these novel spatial data types, interactive visualization tools are necessary.

Results: We describe spatialLIBD, an R/Bioconductor package to interactively explore spatially-resolved transcriptomics data generated with the 10x Genomics Visium platform. The package contains functions to interactively access, visualize, and inspect the observed spatial gene expression data and data-driven clusters identified with supervised or unsupervised analyses, either on the user's computer or through a web application.

Availability: spatialLIBD is available at http://bioconductor.org/packages/spatialLIBD.</jats:p>",2021-04-30
