,doi,tweets,archive,subject-area,covid,title,authors,posted
0,10.1101/2021.04.29.442030,229,bioRxiv,Evolutionary Biology,False,Genomic consequences of domestication of the Siamese fighting fish,"[{'given': 'Young', 'family': 'Kwon', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0728-4715', 'authenticated-orcid': False, 'given': 'Nathan', 'family': 'Vranken', 'sequence': 'additional', 'affiliation': []}, {'given': 'Carla', 'family': 'Hoge', 'sequence': 'additional', 'affiliation': []}, {'given': 'Madison R', 'family': 'Lichak', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kerel X', 'family': 'Francis', 'sequence': 'additional', 'affiliation': []}, {'given': 'Julia', 'family': 'Camacho-Garcia', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6155-3093', 'authenticated-orcid': False, 'given': 'Iliana', 'family': 'Bista', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7545-2162', 'authenticated-orcid': False, 'given': 'Jonathan', 'family': 'Wood', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2715-4187', 'authenticated-orcid': False, 'given': 'Shane', 'family': 'McCarthy', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-9056-201X', 'authenticated-orcid': False, 'given': 'William', 'family': 'Chow', 'sequence': 'additional', 'affiliation': []}, {'given': 'Heok Hui', 'family': 'Tan', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2237-513X', 'authenticated-orcid': False, 'given': 'Kerstin', 'family': 'Howe', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-1029-1457', 'authenticated-orcid': False, 'given': 'Sepalika', 'family': 'Bandara', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2079-2143', 'authenticated-orcid': False, 'given': 'Johannes', 'family': 'von Lintig', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lukas', 'family': 'Ruber', 'sequence': 'additional', 'affiliation': []}, {'given': 'Richard', 'family': 'Durbin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Hannes', 'family': 'Svardal', 'sequence': 'additional', 'affiliation': []}, {'given': 'Andres', 'family': 'Bendesky', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
1,10.1101/2021.04.29.441939,216,bioRxiv,Genomics,False,Genome-wide mutational signatures of immunological diversification in normal lymphocytes,"[{'given': 'Heather', 'family': 'Machado', 'sequence': 'first', 'affiliation': []}, {'given': 'Emily', 'family': 'Mitchell', 'sequence': 'additional', 'affiliation': []}, {'given': 'Nina', 'family': 'Obro', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kirsten', 'family': 'Kubler', 'sequence': 'additional', 'affiliation': []}, {'given': 'Megan', 'family': 'Davies', 'sequence': 'additional', 'affiliation': []}, {'given': 'Francesco', 'family': 'Maura', 'sequence': 'additional', 'affiliation': []}, {'given': 'Daniel', 'family': 'Leongamornlert', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mathijs', 'family': 'Sanders', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alex', 'family': 'Cagan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Craig', 'family': 'McDonald', 'sequence': 'additional', 'affiliation': []}, {'given': 'Miriam', 'family': 'Belmonte', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mairi', 'family': 'Shepherd', 'sequence': 'additional', 'affiliation': []}, {'given': 'Robert', 'family': 'Osborne', 'sequence': 'additional', 'affiliation': []}, {'given': 'Krishnaa', 'family': 'Mahbubani', 'sequence': 'additional', 'affiliation': []}, {'given': 'Inigo', 'family': 'Martincorena', 'sequence': 'additional', 'affiliation': []}, {'given': 'Elisa', 'family': 'Laurenti', 'sequence': 'additional', 'affiliation': []}, {'given': 'Anthony', 'family': 'Green', 'sequence': 'additional', 'affiliation': []}, {'given': 'Gad', 'family': 'Getz', 'sequence': 'additional', 'affiliation': []}, {'given': 'Paz', 'family': 'Polak', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kourosh', 'family': 'Saeb-Parsy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Daniel', 'family': 'Hodson', 'sequence': 'additional', 'affiliation': []}, {'given': 'David', 'family': 'Kent', 'sequence': 'additional', 'affiliation': []}, {'given': 'Peter', 'family': 'Campbell', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
2,10.1101/2021.05.02.442312,133,bioRxiv,Microbiology,False,Aminoglycoside antibiotics inhibit phage infection by blocking an early step of the phage infection cycle,"[{'given': 'Larissa', 'family': 'Kever', 'sequence': 'first', 'affiliation': []}, {'given': 'Aël', 'family': 'Hardy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tom', 'family': 'Luthe', 'sequence': 'additional', 'affiliation': []}, {'given': 'Max', 'family': 'Hünnefeld', 'sequence': 'additional', 'affiliation': []}, {'given': 'Cornelia', 'family': 'Gätgens', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lars', 'family': 'Milke', 'sequence': 'additional', 'affiliation': []}, {'given': 'Johanna', 'family': 'Wiechert', 'sequence': 'additional', 'affiliation': []}, {'given': 'Johannes', 'family': 'Wittmann', 'sequence': 'additional', 'affiliation': []}, {'given': 'Cristina', 'family': 'Moraru', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jan', 'family': 'Marienhagen', 'sequence': 'additional', 'affiliation': []}, {'given': 'Julia', 'family': 'Frunzke', 'sequence': 'additional', 'affiliation': []}]",2021-05-02
3,10.1101/2021.04.30.441968,118,bioRxiv,Microbiology,True,Influenza viral particles harboring the SARS-CoV-2 spike RBD as a combination respiratory disease vaccine,"[{'ORCID': 'http://orcid.org/0000-0003-3838-1868', 'authenticated-orcid': False, 'given': 'Ryan R', 'family': 'Chaparian', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-1446-2359', 'authenticated-orcid': False, 'given': 'Alfred T', 'family': 'Harding', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-4936-4756', 'authenticated-orcid': False, 'given': 'Kristina', 'family': 'Riebe', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4413-4217', 'authenticated-orcid': False, 'given': 'Amelia', 'family': 'Karlsson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0391-6594', 'authenticated-orcid': False, 'given': 'Gregory D', 'family': 'Sempowski', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5307-3428', 'authenticated-orcid': False, 'given': 'Nicholas S', 'family': 'Heaton', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2839-3806', 'authenticated-orcid': False, 'given': 'Brook E', 'family': 'Heaton', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
4,10.1101/2021.04.30.442087,105,bioRxiv,Genetics,False,Diverse mechanisms for epigenetic imprinting in mammals,"[{'given': 'Daniel', 'family': 'Andergassen', 'sequence': 'first', 'affiliation': []}, {'given': 'Zachary D', 'family': 'Smith', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7231-7539', 'authenticated-orcid': False, 'given': 'John L', 'family': 'Rinn', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alexander', 'family': 'Meissner', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
5,10.1101/2021.04.29.21255961,100,medRxiv,Public and Global Health,True,Wastewater-based estimation of the effective reproductive number of SARS-CoV-2,"[{'ORCID': 'http://orcid.org/0000-0002-1782-8109', 'authenticated-orcid': False, 'given': 'Jana S', 'family': 'Huisman', 'sequence': 'first', 'affiliation': []}, {'given': 'Jeremie', 'family': 'Scire', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lea', 'family': 'Caduff', 'sequence': 'additional', 'affiliation': []}, {'given': 'Xavier', 'family': 'Fernandez-Cassi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Pravin', 'family': 'Ganesanandamoorthy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Anina', 'family': 'Kull', 'sequence': 'additional', 'affiliation': []}, {'given': 'Andreas', 'family': 'Scheidegger', 'sequence': 'additional', 'affiliation': []}, {'given': 'Elyse', 'family': 'Stachler', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alexandria B', 'family': 'Boehm', 'sequence': 'additional', 'affiliation': []}, {'given': 'Bridgette', 'family': 'Hughes', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alisha', 'family': 'Knudson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Aaron', 'family': 'Topol', 'sequence': 'additional', 'affiliation': []}, {'given': 'Krista R', 'family': 'Wigginton', 'sequence': 'additional', 'affiliation': []}, {'given': 'Marlene K', 'family': 'Wolfe', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tamar', 'family': 'Kohn', 'sequence': 'additional', 'affiliation': []}, {'given': 'Christoph', 'family': 'Ort', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tanja', 'family': 'Stadler', 'sequence': 'additional', 'affiliation': []}, {'given': 'Timothy R', 'family': 'Julian', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
6,10.1101/2021.04.29.21256344,83,medRxiv,Infectious Diseases (except HIV/AIDS),True,"Original antigenic sin responses to heterologous Betacoronavirus spike proteins are observed in mice following intramuscular administration, but are not apparent in children following SARS-CoV-2 infection","[{'given': 'Stacey A.', 'family': 'Lapp', 'sequence': 'first', 'affiliation': []}, {'given': 'Venkata Viswanadh', 'family': 'Edara', 'sequence': 'additional', 'affiliation': []}, {'given': 'Austin', 'family': 'Lu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Lilin', 'family': 'Lai', 'sequence': 'additional', 'affiliation': []}, {'given': 'Laila', 'family': 'Hussaini', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ann', 'family': 'Chahroudi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Larry J.', 'family': 'Anderson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mehul S.', 'family': 'Suthar', 'sequence': 'additional', 'affiliation': []}, {'given': 'Evan J.', 'family': 'Anderson', 'sequence': 'additional', 'affiliation': []}, {'given': 'Christina A.', 'family': 'Rostad', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
7,10.1101/2021.04.30.441581,78,bioRxiv,Microbiology,False,RelA-SpoT Homologue toxins pyrophosphorylate the CCA end of tRNA to inhibit protein synthesis,"[{'given': 'Tatsuaki', 'family': 'Kurata', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-2591-9588', 'authenticated-orcid': False, 'given': 'Tetiana', 'family': 'Brodiazhenko', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-6090-6742', 'authenticated-orcid': False, 'given': 'Sofia Raquel Alves', 'family': 'Oliveira', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-3116-3817', 'authenticated-orcid': False, 'given': 'Mohammad', 'family': 'Roghanian', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0899-974X', 'authenticated-orcid': False, 'given': 'Kathryn Jane', 'family': 'Turnbull', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-3945-4408', 'authenticated-orcid': False, 'given': 'Ondrej', 'family': 'Bulvas', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2034-5666', 'authenticated-orcid': False, 'given': 'Hiraku', 'family': 'Takada', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-7898-946X', 'authenticated-orcid': False, 'given': 'Radek', 'family': 'Pohl', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0634-0300', 'authenticated-orcid': False, 'given': 'Abel', 'family': 'Garcia-Pino', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-5977-5001', 'authenticated-orcid': False, 'given': 'Dominik', 'family': 'Rejman', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0260-3601', 'authenticated-orcid': False, 'given': 'Tanel', 'family': 'Tenson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-4861-4584', 'authenticated-orcid': False, 'given': 'Gemma Catherine', 'family': 'Atkinson', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2389-5057', 'authenticated-orcid': False, 'given': 'Vasili', 'family': 'Hauryliuk', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
8,10.1101/2021.04.30.442050,75,bioRxiv,Molecular Biology,False,Single-molecule imaging of microRNA-mediated gene silencing in cells,"[{'ORCID': 'http://orcid.org/0000-0002-2363-8838', 'authenticated-orcid': False, 'given': 'Hotaka', 'family': 'Kobayashi', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-6725-0093', 'authenticated-orcid': False, 'given': 'Robert H', 'family': 'Singer', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
9,10.1101/2021.04.29.440149,70,bioRxiv,Bioinformatics,False,spatialLIBD: an R/Bioconductor package to visualize spatially-resolved transcriptomics data,"[{'ORCID': 'http://orcid.org/0000-0001-8103-7136', 'authenticated-orcid': False, 'given': 'Brenda', 'family': 'Pardo', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-0028-9348', 'authenticated-orcid': False, 'given': 'Abby', 'family': 'Spangler', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-3282-1730', 'authenticated-orcid': False, 'given': 'Lukas M.', 'family': 'Weber', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-7858-0231', 'authenticated-orcid': False, 'given': 'Stephanie C.', 'family': 'Hicks', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0001-6886-1454', 'authenticated-orcid': False, 'given': 'Andrew E.', 'family': 'Jaffe', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0002-5237-0789', 'authenticated-orcid': False, 'given': 'Keri', 'family': 'Martinowich', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-0031-8468', 'authenticated-orcid': False, 'given': 'Kristen R.', 'family': 'Maynard', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'http://orcid.org/0000-0003-2140-308X', 'authenticated-orcid': False, 'given': 'Leonardo', 'family': 'Collado-Torres', 'sequence': 'additional', 'affiliation': []}]",2021-04-30
