,doi,tweets,archive,subject-area,covid,title,authors,abstract,posted
0,10.1101/2021.08.31.458411,34,bioRxiv,Plant Biology,False,An Arabidopsis root phloem pole cell atlas reveals PINEAPPLE genes as transitioners to autotrophy,"[{'name': 'Sofia Otero'}, {'name': 'Iris Sevilem'}, {'name': 'Pawel Roszak'}, {'name': 'Yipeng Lu'}, {'name': 'Valerio Di Vittori'}, {'name': 'Matthieu Bourdon'}, {'name': 'Lothar Kalmbach'}, {'name': 'Bernhard Blob'}, {'name': 'Jung-ok Heo'}, {'name': 'Federico Peruzzo'}, {'name': 'Thomas Laux'}, {'name': 'Alisdair R. Fernie'}, {'name': 'Hugo Tavares'}, {'name': 'Yka Helariutta'}]","<p>Single cell sequencing has recently allowed the generation of exhaustive root cell atlases. However, some cell types are elusive and remain underrepresented. Here, we use a second- generation single cell approach, where we zoom in on the root transcriptome sorting with specific markers to profile the phloem poles at an unprecedented resolution. Our data highlight the similarities among the developmental trajectories and gene regulatory networks communal to protophloem sieve element (PSE) adjacent lineages in relation to PSE enucleation, a key event in phloem biology.</p><p>As a signature for early PSE-adjacent lineages, we have identified a set of DNA-binding with one finger (DOF) transcription factors, the PINEAPPLEs (PAPL), that act downstream of <italic>PHLOEM EARLY DOF</italic> (<italic>PEAR</italic>) genes, and are important to guarantee a proper root nutrition in the transition to autotrophy.</p><p>Our data provide a holistic view of the phloem poles that act as a functional unit in root development.</p>",2021-09-01
1,10.1101/2021.08.31.21262943,29,medRxiv,Public and Global Health,True,Ensemble forecast of COVID-19 in Karnataka for vulnerability assessment and policy interventions,"[{'name': 'Sashikumaar Ganesan'}, {'name': 'Deepak Subramani'}, {'name': 'Thivin Anandh'}, {'name': 'Divij Ghose'}, {'name': 'Giridhara R Babu'}]","<p>We present an ensemble forecast for Wave-3 of COVID-19 in the state of Karnataka, India, using the IISc Population Balance Model for infectious disease spread. The reported data of confirmed, recovered, and deceased cases in Karnataka from 1 July 2020 to 4 July 2021 is utilized to tune the model’s parameters, and an ensemble forecast is done from 5 July 2021 to 30 June 2022. The ensemble is built with 972 members by varying seven critical parameters that quantify the uncertainty in the spread dynamics (antibody waning, viral mutation) and interventions (pharmaceutical, non-pharmaceutical). The probability of Wave-3, the peak date distribution, and the peak caseload distribution are estimated from the ensemble forecast. Our analysis shows that the most significant causal factors are compliance to Covid-appropriate behavior, daily vaccination rate, and the immune escape new variant emergence-time. These causal factors determine when and how severe the Wave-3 of COVID-19 would be in Karnataka. We observe that when compliance to Covid-Appropriate Behavior is good (i.e., lockdown-like compliance), the emergence of new immune-escape variants beyond Sep ‘21 is unlikely to induce a new wave. A new wave is inevitable when compliance to Covid-Appropriate Behavior is only partial. Increasing the daily vaccination rates reduces the peak active caseload at Wave-3. Consequently, the hospitalization, ICU, and Oxygen requirements also decrease. Compared to Wave-2, the ensemble forecast indicates that the number of daily confirmed cases of children (0-17 years) at Wave-3’s peak could be seven times more on average. Our results provide insights to plan science-informed policy interventions and public health response.</p>",2021-09-02
2,10.1101/2021.09.03.458877,27,bioRxiv,Pharmacology and Toxicology,True,Discovery of highly potent pancoronavirus fusion inhibitors that also effectively inhibit COVID-19 variants from the UK and South Africa,"[{'name': 'Francesca Curreli'}, {'name': 'Shahad Ahmed'}, {'name': 'Sofia M. B. Victor'}, {'name': 'Aleksandra Drelich'}, {'name': 'Siva S. Panda'}, {'name': 'Andrea Altieri'}, {'name': 'Alexander Kurkin'}, {'name': 'Chien-Te Tseng'}, {'name': 'Christopher Hillyer'}, {'name': 'Asim Debnath'}]","<p>We report the discovery of a series of benzoic acid-based inhibitors that show highly potent pancoronavirus activity. Some compounds also show complete inhibition of CPE (IC<sub>100</sub>) at 1.25 μM against an authentic SARS-CoV-2 (US_WA-1/2020). Furthermore, the most active inhibitors also potently inhibited variants initially identified in the UK and South Africa. We confirmed that one of the potent inhibitors binds to the prefusion spike protein trimer of SARS-CoV-2 by SPR. Besides, we showed that they inhibit virus-mediated cell-cell fusion. The ADME data show druglike characteristics, and in vivo PK in rats demonstrated excellent half-life (t½) of 11.3 h, mean resident time (MRT) of 14.2 h, and orally bioavailable. Despite the presence of ene-rhodamine moiety, we conclusively demonstrated that these inhibitors target the viral spike protein and are not promiscuous or colloidal aggregators. We expect the lead inhibitors to pave the way for further development to preclinical and clinical candidates.</p>",2021-09-03
3,10.1101/2021.08.30.458146,24,bioRxiv,Developmental Biology,False,The control of transcriptional memory by stable mitotic bookmarking,"[{'name': 'Maëlle Bellec'}, {'name': 'Jérémy Dufourt'}, {'name': 'George Hunt'}, {'name': 'Hélène Lenden-Hasse'}, {'name': 'Antonio Trullo'}, {'name': 'Amal Zine El Aabidine'}, {'name': 'Marie Lamarque'}, {'name': 'Marissa M Gaskill'}, {'name': 'Heloïse Faure-Gautron'}, {'name': 'Mattias Mannervik'}, {'name': 'Melissa M Harrison'}, {'name': 'Jean-Christophe Andrau'}, {'name': 'Cyril Favard'}, {'name': 'Ovidiu Radulescu'}, {'name': 'Mounia Lagha'}]","<p>To maintain cellular identities during development, gene expression profiles must be faithfully propagated through cell generations. The reestablishment of gene expression patterns upon mitotic exit is thought to be mediated, in part, by mitotic bookmarking by transcription factors (TF). However, the mechanisms and functions of TF mitotic bookmarking during early embryogenesis remain poorly understood. In this study, taking advantage of the naturally synchronized mitoses of <italic>Drosophila</italic> early embryos, we provide evidence that the pioneer-like transcription factor GAF acts as stable mitotic bookmarker during zygotic genome activation. We report that GAF remains associated to a large fraction of its interphase targets including at <italic>cis</italic>-regulatory sequences of key developmental genes, with both active and repressive chromatin signatures. GAF mitotic targets are globally accessible during mitosis and are bookmarked via histone acetylation (H4K8ac). By monitoring the kinetics of transcriptional activation in living embryos, we provide evidence that GAF binding establishes competence for rapid activation upon mitotic exit.</p>",2021-08-30
4,10.1101/2021.08.31.458428,9,bioRxiv,Cell Biology,False,Characterisation of a nucleo-adhesome,"[{'name': 'Adam Byron'}, {'name': 'Billie G. C. Griffith'}, {'name': 'Ana Herrero'}, {'name': 'Alexander E. P. Loftus'}, {'name': 'Emma S. Koeleman'}, {'name': 'John C. Dawson'}, {'name': 'Linda Kogerman'}, {'name': 'Niamh McGivern'}, {'name': 'Jayne Culley'}, {'name': 'Graeme R. Grimes'}, {'name': 'Bryan Serrels'}, {'name': 'Alex von Kriegsheim'}, {'name': 'Valerie G. Brunton'}, {'name': 'Margaret C. Frame'}]","<p>In addition to central functions in cell adhesion signalling, integrin-associated proteins have wider roles at sites distal to adhesion receptors. In experimentally defined adhesomes, we noticed that there is clear enrichment of proteins that localise to the nucleus, and conversely, we now report that nuclear proteomes contain a class of adhesome components that localise to the nucleus. We here defined a nucleo-adhesome, providing experimental evidence for a remarkable scale of nuclear localisation of adhesion proteins, establishing a framework for interrogating nuclear adhesion protein functions. In adding to nuclear FAK’s known roles in regulating transcription, we now show that nuclear FAK regulates expression of many adhesion-related proteins that localise to the nucleus and that nuclear FAK binds to the adhesome component and nuclear protein Hic-5. FAK and Hic-C work together in the nucleus, co-regulating a subset of genes transcriptionally. We describe the first nucleo-adhesome using a squamous cancer cell model, and demonstrate the new principle that there are nuclear adhesion protein subcomplexes that cooperate to control transcription.
<fig id=""ufig1"" position=""float"" fig-type=""figure"" orientation=""portrait""><graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""458428v1_ufig1"" position=""float"" orientation=""portrait"" /></fig></p>",2021-08-31
5,10.1101/2021.08.29.458102,8,bioRxiv,Molecular Biology,False,Exo1-protected DNA nicks direct crossover formation in meiosis,"[{'name': 'Michael Gioia'}, {'name': 'Lisette Payero'}, {'name': 'Gianno Pannafino'}, {'name': 'Jun Jie Chen'}, {'name': 'Sagar Salim'}, {'name': 'Ghanim Fajith'}, {'name': 'Amamah F. Farnaz'}, {'name': 'Sherikat Momoh'}, {'name': 'Michelle Scotland'}, {'name': 'Vandana Raghavan'}, {'name': 'Carol Manhart'}, {'name': 'Akira Shinohara'}, {'name': 'K.T. Nishant'}, {'name': 'Eric Alani'}]","<p>In most sexually reproducing organisms crossing over between chromosome homologs during meiosis is critical for the viability of haploid gametes. Most crossovers that form in meiosis in budding yeast result from the biased resolution of double Holliday Junction (dHJ) intermediates. This dHJ resolution step involves the actions Rad2/XPG family nuclease Exo1 and the Mlh1-Mlh3 mismatch repair endonuclease. At present little is known about how these factors act in meiosis at the molecular level. Here we show that Exo1 promotes meiotic crossing over by protecting DNA nicks from ligation. We found that structural elements in Exo1 required for interactions with DNA, such as bending of DNA during nick/flap recognition, are critical for its role in crossing over. Consistent with these observations, meiotic expression of the Rad2/XPG family member Rad27 partially rescued the crossover defect in <italic>exo1</italic> null mutants, and meiotic overexpression of Cdc9 ligase specifically reduced the crossover levels of <italic>exo1</italic> DNA binding mutants to levels approaching the <italic>exo1</italic> null. In addition, our work identified a role for Exo1 in crossover interference that appears independent of its resection activity. Together, these studies provide experimental evidence for Exo1-protected nicks being critical for the formation of meiotic crossovers and their distribution.</p>",2021-08-30
6,10.1101/2021.09.01.458557,7,bioRxiv,Cell Biology,False,Functional fluorescently-tagged human profilin,"[{'name': 'Morgan L. Pimm'}, {'name': 'Xinbei Liu'}, {'name': 'Farzana Tuli'}, {'name': 'Ashley Lojko'}, {'name': 'Jessica L. Henty-Ridilla'}]","<p>Profilin is an essential regulator of actin and microtubule dynamics and therefore a critical control point for the normal division, motility, and morphology of cells. Most studies of profilin have focused on biochemical investigations using purified protein because high cellular concentrations (121 µM) present challenges for conventional imaging modalities. In addition, past studies that employed direct labeling or conventional fusion protein strategies compromised different facets of profilin function. We engineered a fluorescently-labeled profilin that retains native activities with respect to phosphoinositide lipids, actin monomers, formin-mediated actin assembly, and microtubule polymerization. This fluorescent profilin directly binds to dimers of tubulin (k<sub>D</sub> = 1.7 µM) and the microtubule lattice (k<sub>D</sub> = 10 µM) to stimulate microtubule assembly. In cells, our tagged profilin fully rescues profilin-1<sup>(-/-)</sup> cells from knockout-induced perturbations to cell shape, actin filament architecture, and microtubule arrays. Thus, this labeled profilin-1 is a reliable tool to investigate the dynamic interactions of profilin with actin or microtubules in live cell and in vitro applications.</p>",2021-09-02
7,10.1101/2021.08.30.458230,7,bioRxiv,Neuroscience,False,Disentangling the flow of signals between populations of neurons,"[{'name': 'Evren Gokcen'}, {'name': 'Anna I. Jasper'}, {'name': 'João D. Semedo'}, {'name': 'Amin Zandvakili'}, {'name': 'Adam Kohn'}, {'name': 'Christian K. Machens'}, {'name': 'Byron M. Yu'}]","<p>Technological advances have granted the ability to record from large populations of neurons across multiple brain areas. These recordings may illuminate how communication between areas contributes to brain function, yet a substantial barrier remains: How do we disentangle the concurrent, bidirectional flow of signals between two populations of neurons? We therefore propose here a novel dimensionality reduction framework: Delayed Latents Across Groups (DLAG). DLAG disentangles signals relayed in both directions; identifies how these signals are represented by each population; and characterizes how they evolve over time and trial-to-trial. We demonstrate that DLAG performs well on synthetic datasets similar in scale to current neurophysiological recordings. Then we study simultaneously recorded populations in primate visual areas V1 and V2, where DLAG reveals signatures of concurrent yet selective communication. Our framework lays the foundation for dissecting the intricate flow of signals across populations of neurons, and how this signaling contributes to cortical computation.</p>",2021-09-01
8,10.1101/2021.08.30.458226,7,bioRxiv,Bioinformatics,False,De Novo Prediction of RNA 3D Structures with Deep Learning,"[{'name': 'Julius Ramakers'}, {'name': 'Christopher Frederik Blum'}, {'name': 'Sabrina König'}, {'name': 'Stefan Harmeling'}, {'name': 'Markus Kollmann'}]","<p>We present a Deep Learning approach to predict 3D folding structures of RNAs from their nucleic acid sequence. Our approach combines an autoregressive Deep Generative Model, Monte Carlo Tree Search, and a Score Model to find and rank the most likely folding structures for a given RNA sequence. We confirm the predictive power of our approach by setting new benchmarks for some longer sequences in a simulated blind test of the RNA Puzzles prediction challenge.</p>",2021-09-01
9,10.1101/2021.08.29.21262789,7,medRxiv,Epidemiology,True,Vaccines alone are no silver bullets: a modeling study on the impact of efficient contact tracing on COVID-19 infection and transmission,"[{'name': 'Dhesi Baha Raja'}, {'name': 'Nur Asheila Abdul Taib'}, {'name': 'Alvin Kuo Jing Teo'}, {'name': 'Vivek Jason Jayaraj'}, {'name': 'Choo-Yee Ting'}]","<sec><title>Background</title><p>The computer simulation presented in this study aimed to investigate the effect of contact tracing on COVID-19 transmission and infection in the context of rising vaccination rates.</p></sec><sec><title>Methods</title><p>This study proposed a deterministic SEIRV model with contact tracing and vaccination components. We initialized some parameters using the Malaysian COVID-19 data to inform the model. We defined contact tracing effectiveness as the proportion of contacts of a positive case that was successfully traced and vaccination rate as the proportion of daily doses administered per population in Malaysia. Sensitivity analyses on the untraced and infectious populations were conducted. The study presented in silico findings on multiple scenarios by varying the contact tracing effectiveness and daily vaccination rates.</p></sec><sec><title>Results</title><p>At a vaccination rate of 1.4%, a contact tracing with the effectiveness of 70% could delay the peak of untraced asymptomatic cases by 17 days and reduce the highest number of daily cases by 70% compared with a 30% contact tracing effectiveness. A similar trend was observed for symptomatic cases when a similar experiment setting was used. We also performed sensitivity analyses by using different combinations of contact tracing effectiveness and vaccination rates. In all scenarios, the effect of contact tracing on COVID-19 incidence persisted for both asymptomatic and symptomatic cases.</p></sec><sec><title>Conclusion</title><p>Despite testing only on two public health and social measures (PHSMs), we observed the scenario with low contact tracing and increasing vaccination rates successfully mimicked the current transmission trend in Malaysia. Hence, while vaccines are progressively rolled out, efficient contact tracing must be rapidly implemented concurrently to reach, find, test, isolate, and support the affected populations to bring the pandemic under control.</p></sec>",2021-08-30
